GlobalPropertyName,PropertyAddress1,NearestAirportName,DistanceFromAirportKm,bookingUrl,hasLocker,hasFitness,hasRelaxArea,hasTurkishBath,hasSpa,hasFitnessRoom,hasSauna
DAVID'S RENTAL ROOMs,"48B Calea Floreasca, Sector 1, 014462 București, România",N/A,,https://www.booking.com/hotel/ro/davids-rental-rooms.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vilacrosse Boutique Inn,"Calea Victoriei Nr. 16-18-20 ( Macca-Vilacrosse Passage ), Sector 3, 030023 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,8,https://www.booking.com/hotel/ro/vilacrosse-boutique-inn.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Le Blanc ApartHotel,"Str. Corvinilor nr 1-3, Sector 6, 060772 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,7,https://www.booking.com/hotel/ro/le-blanc-aparthotel.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crystal Palace Hotel,"Cpt.Av.Alex Serbanescu 18-20, Sector 1, 014292 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,2,https://www.booking.com/hotel/ro/crystal-palace.ro.html,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Euro Hotel Grivita,"Calea Grivitei 130, Sector 1, 010736 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,6,https://www.booking.com/hotel/ro/euro-grivita.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Radisson Blu Hotel Bucharest,"Calea Victoriei 63 - 81, Sector 1, 010065 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,7,https://www.booking.com/hotel/ro/radisson-sas-bucharest.ro.html,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JW Marriott Bucharest Grand Hotel,"Calea 13 Septembrie 90, Sector 5, 050726 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,8,https://www.booking.com/hotel/ro/jw-marriott-bucharest-grand.ro.html,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Vila Paris Boutique Hotel,"Str. Paris 58, Sector 1, Sector 1, 011815 București, România",N/A,,https://www.booking.com/hotel/ro/vila-paris.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nishani 5 Stars Boutique,"26 Strada General Christian Tell, Sector 1, 010384 București, România",N/A,,https://www.booking.com/hotel/ro/nishani-5-stars-boutique-motel.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lagom Hotel,"Strada Maior Câmpeanu Alexandru no. 8A, Sector 1, 011237 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,5,https://www.booking.com/hotel/ro/lagom.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lagom Hotel,"Strada Maior Câmpeanu Alexandru no. 8A, Sector 1, 011237 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,5,https://www.booking.com/hotel/ro/lagom.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Carol Park View,"Strada Lânăriei 148, Sector 4, 040328 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,10,https://www.booking.com/hotel/ro/carol-park-view.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nevis Fundeni,"Șoseaua Fundeni 145, Sector 2, 022315 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,8,https://www.booking.com/hotel/ro/nevis-fundeni.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Epoque Hotel - Relais & Chateaux,"17C Intrarea Aurora, Sector 1, 010213 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,7,https://www.booking.com/hotel/ro/epoque.ro.html,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Casa Comana Boutique Hotel,"Bulevardul Expoziției Numarul 5, Sector 1, 012103 București, România",N/A,,https://www.booking.com/hotel/ro/casa-comana-boutique.ro.html,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
M Rooms,"Strada Preciziei nr 1-3 Sector 6, Sector 6, 062202 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,11,https://www.booking.com/hotel/ro/m-rooms.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hotel Boutique Cathedral Plaza Residences room for rent downtown,"Strada General H. M. Berthelot 10, Sector 1, 010164 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,7,https://www.booking.com/hotel/ro/cathedral-plaza-residence.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
House4You - Blanari,"4 Strada Blănari, Sector 3, 030167 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,8,https://www.booking.com/hotel/ro/epic-house-bucharest.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Tempus,"14a Strada Ienăchiță Văcărescu Sector 4, Sector 4, 040157 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,9,https://www.booking.com/hotel/ro/tempus.ro.html,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The Marmorosch Bucharest, Autograph Collection","2-6 Doamnei Street, Sector 3, 030053 București, România",Aeroportul internațional București Băneasa - Aurel Vlaicu,8,https://www.booking.com/hotel/ro/the-marmorosch-bucharest-autograph-collection.ro.html,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
